"premise_id","nl","translation_a","translation_b","preference"
"P042","All clumsy foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing.","∀x (ClumsyFoodie(x) ∧ GoOutFrequentlyToFindToTry(x, newFoodRestaurant) → SpillOn(x, aLotOfFood, clothing))","all x.(exists y.((ClumsyFoodie(x) & GoOutFrequently(x) & Find(x, y) & NewFoodRestaurant(y) & Try(x, y))) -> (Person(x) & SpillFoodOnClothing(x)))",""
"P043","No managers work remotely from home.","∀x (Manager(x) → ¬Work(x, home))","all x.(Manager(x) -> -WorkRemotelyFrom(x, home))",""
"P044","If a film contains excessive erotic and violent content, children cannot watch it without guidance from their parents.","∀x (Film(x) ∧ Contain(x, excessiveEroticContent) ∧ Contain(x, excessiveViolentContent) → ¬CanWatchWithout(children, x, guidanceFromParents))","all x.(exists z.(Film(x)) -> ((ContainsExcessiveEroticContent(x) & ContainsViolentContent(x)) -> all y.(exists z.(Child(y)) -> -WatchWithoutGuidance(y, x))))",""
"P045","If a superhero movie is named after a character, that character is in the movie.","∀x ∀y (SuperheroMovie(x) ∧ NamedAfter(x, y) → In(y, x))","all x.(SuperheroMovie(x) -> all y.((Character(y) & NamedAfter(x, y)) -> InMovie(y, x)))",""
"P046","The state of Montana includes the cities of Butte, Helena, and Missoula.","City(butte) ∧ In(butte, montana) ∧ City(helena) ∧ In(helena, montana) ∧ City(missoula) ∧ In(missoula, montana)","(Includes(stateOfMontana, butte) & Includes(stateOfMontana, helena) & Includes(stateOfMontana, missoula))",""
"P047","If a film is appropriate for people of all ages, then children can watch it without guidance from parents.","∀x (Film(x) ∧ Rated(x, adultsOnly) → CanWatchWithout(children, x, guidanceFromParents))","all x.(Film(x) -> (AppropriateForAllAges(x) -> all y.(Child(y) -> CanWatchWithoutGuidance(y, x))))",""
"P048","If a person at the mixer is an athlete, then they are famous.","∀x (At(x, mixer) ∧ Athlete(x) → Famous(x))","all x.((Person(x) & At(x, theMixer)) -> (Athlete(x) -> Famous(x)))",""
"P049","Family History is a novel written in 2003.","(Novel(familyHistory) & WrittenIn(familyHistory, year2003))","Novel(family_History) ∧ WrittenIn(family_History, yr2003)",""
"P050","If people spill a lot of food on their clothing, then they are not notably tidy.","∀x (Spill(x, aLotOfFood, clothing) → ¬NotablyTidy(x))","all x.((Person(x) & SpillFoodOnClothing(x)) -> -NotablyTidy(x))",""
"P051","No one nice to animals is also mean to animals.","∀x (NiceTo(x, animal) → ¬MeanTo(x, animal))","all x.(NiceToAnimals(x) -> -MeanToAnimals(x))",""
"P052","The Legend of Zelda sold more than one million copies.","∃y(GreaterThan(y, oneMillion) ∧ CopiesSold(theLegendofZelda,y))","SoldMoreThanOneMillionCopies(theLegendOfZelda)",""
"P053","All students working in the lab are taking a class with Professor David.","∀x ((Student(x) ∧ WorkIn(x, lab)) → InstructedBy(x, professorDavid))","all x.((Student(x) & WorkingIn(x, lab) & Lab(lab)) -> TakingClassWith(x, professorDavid))",""
"P054","Symptoms of Monkeypox include fever, headache, muscle pains, and tiredness.","(SymptomOf(fever, monkeypox) & SymptomOf(headache, monkeypox) & SymptomOf(musclePains, monkeypox) & SymptomOf(tiredness, monkeypox))","∃x (SymptonOf(x, monkeypoxVirus) ∧ (Fever(x) ∨ Headache(x) ∨ MusclePain(x) ∨ Tired(x)))",""
"P055","There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.","(TypeOfWildTurkey(easternWildTurkey) & TypeOfWildTurkey(osceolaWildTurkey) & TypeOfWildTurkey(gouldsWildTurkey) & TypeOfWildTurkey(merriamesWildTurkey) & TypeOfWildTurkey(rioGrandeWildTurkey) & TypeOfWildTurkey(ocellatedWildTurkey))","∀x (WildTurkey(x) → (EasternWildTurkey(x) ∨ OsceolaWildTurkey(x) ∨ GouldsWildTurkey(x) ∨ MerriamsWildTurkey(x) ∨ RiograndeWildTurkey(x) ∨ OcellatedWildTurkey(x)))",""
"P056","Many of Beijing's 91 universities consistently rank among the best universities in the world.","exists x.(UniversityInBeijing(x) & RankAmongBestUniversities(x))","∃x (University(x) ∧ InBeijing(x) ∧ ConsistentlyRankAmongTheBestIn(x, theWorld))",""
"P057","Tom is applying to take the GRE test.","ApplicantOf(tom, gre)","ApplyingToTake(tom, greTest)",""
"P058","Some people that have well-attended weddings have larger families.","exists x.(exists y.((Person(x) & Have(x, y) & Wedding(y) & WellAttended(y))) & HaveLargerFamily(x))","∃x (Have(x, wellAttendedWedding) ∧ Have(x, largerFamily))",""
"P059","All people who invite others to come to their ceremony make wedding plans.","∀x (∃y ∃z (¬(y=x) ∧ ¬(z=x) ∧ ¬(y=z) ∧ InviteToComeTo(x, y, wedding) ∧ InviteToComeTo(x, z, wedding)) → Make(x, weddingPlan))","all x.(exists y.(exists z.((Person(x) & Invite(x, y) & ComeTo(y, z) & Ceremony(z)))) -> MakeWeddingPlans(x))",""
"P060","Everyone who has lunch in the company building schedules meetings with their customers.","∀x ((Employee(x) ∧ HasLunch(x, company)) → Schedule(x, meeting, customers))","all x.(HaveLunchIn(x, companyBuilding) -> exists y.(Meeting(y) & exists z.(Customer(z) & Schedule(x, y))))",""
"P061","All Solo EV cars are single-seat electric cars.","all x.(SoloEVCar(x) -> SingleSeatElectricCar(x))","∀x (SoloEV(x) ∧ Car(x) → SingleSeat(x) ∧ ElectricCar(x))",""
"P062","If a license plate begins with the number 35, then it does not begin with the number 34.","all x.(LicensePlate(x) -> (BeginsWith35(x) -> -BeginsWith34(x)))","∀x (BeginWith(x, num35) → ¬BeginWith(x, num34))",""
"P063","All people who eat salads regularly are very conscious about their health and eating habits.","all x.(exists y.((Person(x) & EatRegularly(x, y) & Salad(y))) -> (ConsciousAboutHealth(x) & ConsciousAboutEatingHabits(x)))","∀x (RegularlyEat(x, salad) → ConsciousAbout(x, health) ∧ ConsciousAbout(x, eatinggHabit))",""
"P064","ETS provides financial aid to those GRE applicants who prove economic hardship.","all x.((GREApplicant(x) & ProveEconomicHardship(x)) -> ProvideFinancialAidTo(ets, x))","∀x (ApplicantOf(x, gre) ∧ Prove(x, economicHardship) → ProvideTo(ets, financialAid, x))",""
"P065","Rock is Peter's pet.","PetOf(rock, peter)","PeterSPet(rock)",""
"P066","Antarctica is located on the South Shetland Islands.","LocatedOn(antarctica, southShetlandIslands)","LocatedIn(southShetlandIslands, antarctica)",""
"P067","All restaurants with a rating greater than four are listed in Yelp’s recommendations.","∀x ∀y (HaveRating(x, y) ∧ GreaterThan(y, 4) → ListedIn(x, yelpRecommendation))","all x.((Restaurant(x) & RatingGreaterThanFour(x)) -> ListedIn(x, yelpRecommendations))",""
"P068","Badults is a British Sitcom series starring members of Pappy's.","∃x (BritishSitcom(badults) ∧ Series(badults) ∧ MemberOf(x, pappys) ∧ Starring(badults, x))","(BritishSitcomSeries(badults) & StarsMembersOf(badults, pappys))",""
"P069","If a film is rated General Audience, then it is appropriate for people of all ages.","∀x (Film(x) ∧ Rated(x, generalAudience) → AppropriateFor(x, peopleOfAllAges))","all x.(Film(x) -> (RatedGeneralAudience(x) -> AppropriateForAllAges(x)))",""
"P070","All shows portraying the lives of real people are reality TV shows.","∀x (Portray(x, liveOfRealPeople) → RealityTVShow(x))","all x.(exists y.((Show(x) & PortraysLivesOf(x, y) & RealPerson(y))) -> RealityTVShow(x))",""
"P071","A deposit is required to rent an apartment in a managed building.","∀x ∀y (ManagedBuilding(x) ∧ RentApartmentIn(y, x) → DepositRequired(y))","exists x.(Deposit(x) & exists y.(Apartment(y) & exists z.(ManagedBuilding(z) & (RequiredToRent(x, y) & In(y, z)))))",""
"P072","Neapolitan Chronicles was translated from Italian.","TranslatedFrom(neapolitanChronicles, italian)","TranslatedFrom(neapolitanChronicles, italian)",""
"P073","Tom is not an Osceola wild turkey.","-OsceolaWildTurkey(tom)","¬(OsceolaWildTurkey(tom))",""
"P074","Tom is a pet owner.","PetOwner(tom)","PetOwner(tom)",""
"P075","Beijing is located in Northern China.","LocatedIn(beijing, northernChina)","LocatedIn(beijing, northernChina)",""
"P076","Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.","LocatedIn(snowIsland, southShetlandIslands) ∧ LocatedIn(greenwichIsland, southShetlandIslands) ∧ LocatedIn(deceptionIsland, southShetlandIslands)","(LocatedIn(snowIsland, southShetlandIslands) & LocatedIn(greenwichIsland, southShetlandIslands) & LocatedIn(deceptionIsland, southShetlandIslands))",""
"P077","Neapolitan Chronicles is a book published by New Vessel Press.","(Book(neapolitanChronicles) & PublishedBy(neapolitanChronicles, newVesselPress))","Book(neapolitanChronicles) ∧ PublishedBy(neapolitanChronicles, newVesselPress)",""
"P078","Strikers are soccer players.","∀x (Striker(x) → SoccerPlayer(x))","all x.(Striker(x) -> SoccerPlayer(x))",""
"P079","Roderick Strong leads Diamond Mine.","Leads(roderickStrong, diamondMine)","Leads(roderickStrong, diamondMine)",""
"P080","All squares are four-sided.","∀x (Square(x) → FourSided(x))","all x.(Square(x) -> FourSided(x))",""
"P081","Some love is positive.","exists x.(Love(x) & Positive(x))","∃x (Love(x) ∧ Positive(x))",""
