"story_id","status","nl","folio_gold_fol","siv_extraction_view","siv_tests","siv_translation","folio_gold_score","siv_translation_score"
"198","evaluated","Monkeypox virus can occur in certain animals.","∃x (Animal(x) ∧ OccurIn(monkeypoxVirus, x))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: simple_existential
canonical_fol: exists x.(Animal(x) & OccurIn(monkeypoxVirus, x))","[positive|entailed] exists v0.(Animal(v0) & OccurIn(monkeypoxVirus,v0))
[positive|entailed] exists v0.(Animal(v0))
[contrastive|no_contrastives] ","exists x.(Animal(x) & OccurIn(monkeypoxVirus, x))","recall=1.00 precision=n/a f1=n/a (P:2/2 C:0/0)","recall=1.00 precision=n/a f1=n/a (P:2/2 C:0/0)"
"198","evaluated","Humans are mammals.","∀x (Human(x) → Mammal(x))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: simple_universal
canonical_fol: all x.(Human(x) -> Mammal(x))","[positive|entailed] all v0.(Human(v0) -> Mammal(v0))
[contrastive|not_entailed] all x.(Human(x) -> -Mammal(x))","all x.(Human(x) -> Mammal(x))","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"198","evaluated","Mammals are animals.","∀x (Mammal(x) → Animal(x))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: simple_universal
canonical_fol: all x.(Mammal(x) -> Animal(x))","[positive|entailed] all v0.(Mammal(v0) -> Animal(v0))
[contrastive|not_entailed] all x.(Mammal(x) -> -Animal(x))","all x.(Mammal(x) -> Animal(x))","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"198","evaluated","Symptoms of Monkeypox include fever, headache, muscle pains, and tiredness.","∃x (SymptonOf(x, monkeypoxVirus) ∧ (Fever(x) ∨ Headache(x) ∨ MusclePain(x) ∨ Tired(x)))","[reconstructed from report — not raw extraction]
top_formula_case: connective
structural_class: ground_instance
canonical_fol: (SymptomOf(fever, monkeypox) & SymptomOf(headache, monkeypox) & SymptomOf(musclePains, monkeypox) & SymptomOf(tiredness, monkeypox))","[positive|entailed] (SymptomOf(fever,monkeypox) & SymptomOf(headache,monkeypox) & SymptomOf(musclePains,monkeypox) & SymptomOf(tiredness,monkeypox))
[positive|entailed] SymptomOf(fever,monkeypox)
[positive|entailed] SymptomOf(headache,monkeypox)
[positive|entailed] SymptomOf(musclePains,monkeypox)
[positive|entailed] SymptomOf(tiredness,monkeypox)
[contrastive|not_entailed] (-SymptomOf(fever, monkeypox) & SymptomOf(headache, monkeypox) & SymptomOf(musclePains, monkeypox) & SymptomOf(tiredness, monkeypox))
[contrastive|not_entailed] (SymptomOf(fever, monkeypox) & -SymptomOf(headache, monkeypox) & SymptomOf(musclePains, monkeypox) & SymptomOf(tiredness, monkeypox))
[contrastive|not_entailed] (SymptomOf(fever, monkeypox) & SymptomOf(headache, monkeypox) & -SymptomOf(musclePains, monkeypox) & SymptomOf(tiredness, monkeypox))
[contrastive|not_entailed] (SymptomOf(fever, monkeypox) & SymptomOf(headache, monkeypox) & SymptomOf(musclePains, monkeypox) & -SymptomOf(tiredness, monkeypox))","(SymptomOf(fever, monkeypox) & SymptomOf(headache, monkeypox) & SymptomOf(musclePains, monkeypox) & SymptomOf(tiredness, monkeypox))","recall=0.00 precision=1.00 f1=0.00 (P:0/5 C:4/4)","recall=1.00 precision=1.00 f1=1.00 (P:5/5 C:4/4)"
"0","evaluated","There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.","∀x (WildTurkey(x) → (EasternWildTurkey(x) ∨ OsceolaWildTurkey(x) ∨ GouldsWildTurkey(x) ∨ MerriamsWildTurkey(x) ∨ RiograndeWildTurkey(x) ∨ OcellatedWildTurkey(x)))","[reconstructed from report — not raw extraction]
top_formula_case: connective
structural_class: ground_instance
canonical_fol: (TypeOfWildTurkey(easternWildTurkey) & TypeOfWildTurkey(osceolaWildTurkey) & TypeOfWildTurkey(gouldsWildTurkey) & TypeOfWildTurkey(merriamsWildTurkey) & TypeOfWildTurkey(rioGrandeWildTurkey) & TypeOfWildTurkey(ocellatedWildTurkey))","[positive|entailed] (TypeOfWildTurkey(easternWildTurkey) & TypeOfWildTurkey(osceolaWildTurkey) & TypeOfWildTurkey(gouldsWildTurkey) & TypeOfWildTurkey(merriamsWildTurkey) & TypeOfWildTurkey(rioGrandeWildTurkey) & TypeOfWildTurkey(ocellatedWildTurkey))
[positive|entailed] TypeOfWildTurkey(easternWildTurkey)
[positive|entailed] TypeOfWildTurkey(osceolaWildTurkey)
[positive|entailed] TypeOfWildTurkey(gouldsWildTurkey)
[positive|entailed] TypeOfWildTurkey(merriamsWildTurkey)
[positive|entailed] TypeOfWildTurkey(rioGrandeWildTurkey)
[positive|entailed] TypeOfWildTurkey(ocellatedWildTurkey)
[contrastive|not_entailed] (-TypeOfWildTurkey(easternWildTurkey) & TypeOfWildTurkey(osceolaWildTurkey) & TypeOfWildTurkey(gouldsWildTurkey) & TypeOfWildTurkey(merriamsWildTurkey) & TypeOfWildTurkey(rioGrandeWildTurkey) & TypeOfWildTurkey(ocellatedWildTurkey))
[contrastive|not_entailed] (TypeOfWildTurkey(easternWildTurkey) & -TypeOfWildTurkey(osceolaWildTurkey) & TypeOfWildTurkey(gouldsWildTurkey) & TypeOfWildTurkey(merriamsWildTurkey) & TypeOfWildTurkey(rioGrandeWildTurkey) & TypeOfWildTurkey(ocellatedWildTurkey))
[contrastive|not_entailed] (TypeOfWildTurkey(easternWildTurkey) & TypeOfWildTurkey(osceolaWildTurkey) & -TypeOfWildTurkey(gouldsWildTurkey) & TypeOfWildTurkey(merriamsWildTurkey) & TypeOfWildTurkey(rioGrandeWildTurkey) & TypeOfWildTurkey(ocellatedWildTurkey))
[contrastive|not_entailed] (TypeOfWildTurkey(easternWildTurkey) & TypeOfWildTurkey(osceolaWildTurkey) & TypeOfWildTurkey(gouldsWildTurkey) & -TypeOfWildTurkey(merriamsWildTurkey) & TypeOfWildTurkey(rioGrandeWildTurkey) & TypeOfWildTurkey(ocellatedWildTurkey))
[contrastive|not_entailed] (TypeOfWildTurkey(easternWildTurkey) & TypeOfWildTurkey(osceolaWildTurkey) & TypeOfWildTurkey(gouldsWildTurkey) & TypeOfWildTurkey(merriamsWildTurkey) & -TypeOfWildTurkey(rioGrandeWildTurkey) & TypeOfWildTurkey(ocellatedWildTurkey))
[contrastive|not_entailed] (TypeOfWildTurkey(easternWildTurkey) & TypeOfWildTurkey(osceolaWildTurkey) & TypeOfWildTurkey(gouldsWildTurkey) & TypeOfWildTurkey(merriamsWildTurkey) & TypeOfWildTurkey(rioGrandeWildTurkey) & -TypeOfWildTurkey(ocellatedWildTurkey))","(TypeOfWildTurkey(easternWildTurkey) & TypeOfWildTurkey(osceolaWildTurkey) & TypeOfWildTurkey(gouldsWildTurkey) & TypeOfWildTurkey(merriamsWildTurkey) & TypeOfWildTurkey(rioGrandeWildTurkey) & TypeOfWildTurkey(ocellatedWildTurkey))","recall=0.00 precision=1.00 f1=0.00 (P:0/7 C:6/6)","recall=1.00 precision=1.00 f1=1.00 (P:7/7 C:6/6)"
"0","evaluated","Tom is not an Eastern wild turkey.","¬(EasternWildTurkey(tom))","[reconstructed from report — not raw extraction]
top_formula_case: atomic
structural_class: ground_instance
canonical_fol: -EasternWildTurkey(tom)","[positive|entailed] -EasternWildTurkey(tom)
[contrastive|not_entailed] EasternWildTurkey(tom)","-EasternWildTurkey(tom)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"0","evaluated","Tom is not an Osceola wild turkey.","¬(OsceolaWildTurkey(tom))","[reconstructed from report — not raw extraction]
top_formula_case: atomic
structural_class: ground_instance
canonical_fol: -OsceolaWildTurkey(tom)","[positive|entailed] -OsceolaWildTurkey(tom)
[contrastive|not_entailed] OsceolaWildTurkey(tom)","-OsceolaWildTurkey(tom)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"0","evaluated","Tom is not a Gould's wild turkey.","¬(GouldsWildTurkey(tom))","[reconstructed from report — not raw extraction]
top_formula_case: atomic
structural_class: ground_instance
canonical_fol: -GouldsWildTurkey(tom)","[positive|entailed] -GouldsWildTurkey(tom)
[contrastive|not_entailed] GouldsWildTurkey(tom)","-GouldsWildTurkey(tom)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"0","evaluated","Tom is neither a Merriam's wild turkey nor a Rio Grande wild turkey.","¬(MerriamsWildTurkey(tom) ∨ RiograndeWildTurkey(tom))","[reconstructed from report — not raw extraction]
top_formula_case: connective
structural_class: ground_instance
canonical_fol: (-MerriamsWildTurkey(tom) & -RioGrandeWildTurkey(tom))","[positive|entailed] (-MerriamsWildTurkey(tom) & -RioGrandeWildTurkey(tom))
[positive|entailed] -MerriamsWildTurkey(tom)
[positive|entailed] -RioGrandeWildTurkey(tom)
[contrastive|not_entailed] (MerriamsWildTurkey(tom) & -RioGrandeWildTurkey(tom))
[contrastive|not_entailed] (-MerriamsWildTurkey(tom) & RioGrandeWildTurkey(tom))","(-MerriamsWildTurkey(tom) & -RioGrandeWildTurkey(tom))","recall=1.00 precision=1.00 f1=1.00 (P:3/3 C:2/2)","recall=1.00 precision=1.00 f1=1.00 (P:3/3 C:2/2)"
"0","evaluated","Tom is a wild turkey.","WildTurkey(tom)","[reconstructed from report — not raw extraction]
top_formula_case: atomic
structural_class: ground_instance
canonical_fol: WildTurkey(tom)","[positive|entailed] WildTurkey(tom)
[contrastive|not_entailed] -WildTurkey(tom)","WildTurkey(tom)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"20","evaluated","A Japanese game company created the game the Legend of Zelda.","Game(theLegendofZelda) ∧ ∃x (Japanese(x) ∧ VideoGameCompany(x) ∧ Created(x, theLegendofZelda))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: simple_existential
canonical_fol: exists x.(JapaneseGameCompany(x) & Created(x, legendOfZelda))","[positive|entailed] exists v0.(JapaneseGameCompany(v0) & Created(v0,legendOfZelda))
[positive|entailed] exists v0.(JapaneseGameCompany(v0))
[contrastive|no_contrastives] ","exists x.(JapaneseGameCompany(x) & Created(x, legendOfZelda))","recall=0.50 precision=n/a f1=n/a (P:1/2 C:0/0)","recall=1.00 precision=n/a f1=n/a (P:2/2 C:0/0)"
"20","evaluated","All games on the Top 10 list are made by Japanese game companies.","∀x ∀y ((Game(x) ∧ InTop10(x) ∧ Created(y,x)) → Japanese(y))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: compound_restrictor_universal
canonical_fol: all x.((Game(x) & OnTop10List(x)) -> exists y.(JapaneseGameCompany(y) & MadeBy(x, y)))","[positive|entailed] all v0.((Game(v0) & OnTop10List(v0)) -> exists v1.(JapaneseGameCompany(v1) & MadeBy(v0,v1)))
[positive|entailed] all v0.((Game(v0) & OnTop10List(v0)) -> exists v1.(JapaneseGameCompany(v1)))
[contrastive|not_entailed] all x.((Game(x) & OnTop10List(x)) -> -(exists y.(JapaneseGameCompany(y) & MadeBy(x, y))))","all x.((Game(x) & OnTop10List(x)) -> exists y.(JapaneseGameCompany(y) & MadeBy(x, y)))","recall=0.50 precision=1.00 f1=0.67 (P:1/2 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:2/2 C:1/1)"
"20","evaluated","If a game sells more than one million copies, then it will be included in the Top 10 list.","∀x ((Game(x) ∧ ∃y(GreaterThan(y, oneMillion) ∧ CopiesSold(x, y))) → Top10(x)))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: simple_universal
canonical_fol: all x.(Game(x) -> (SellsMoreThanOneMillionCopies(x) -> IncludedInTop10List(x)))","[positive|entailed] all v0.(Game(v0) -> (SellsMoreThanOneMillionCopies(v0) -> IncludedInTop10List(v0)))
[contrastive|not_entailed] all x.(Game(x) -> -((SellsMoreThanOneMillionCopies(x) -> IncludedInTop10List(x))))","all x.(Game(x) -> (SellsMoreThanOneMillionCopies(x) -> IncludedInTop10List(x)))","PARSE_ERROR (normalized: all x ((Game(x) & exists y(GreaterThan(y, oneMillion) & CopiesSold(x, y))) -> Top10(x))))","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"20","evaluated","The Legend of Zelda sold more than one million copies.","∃y(GreaterThan(y, oneMillion) ∧ CopiesSold(theLegendofZelda,y))","[reconstructed from report — not raw extraction]
top_formula_case: atomic
structural_class: ground_instance
canonical_fol: SoldMoreThanOneMillionCopies(theLegendOfZelda)","[positive|entailed] SoldMoreThanOneMillionCopies(theLegendOfZelda)
[contrastive|not_entailed] -SoldMoreThanOneMillionCopies(theLegendOfZelda)","SoldMoreThanOneMillionCopies(theLegendOfZelda)","recall=0.00 precision=1.00 f1=0.00 (P:0/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"282","evaluated","All squares are four-sided.","∀x (Square(x) → FourSided(x))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: simple_universal
canonical_fol: all x.(Square(x) -> FourSided(x))","[positive|entailed] all v0.(Square(v0) -> FourSided(v0))
[contrastive|not_entailed] all x.(Square(x) -> -FourSided(x))","all x.(Square(x) -> FourSided(x))","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"282","evaluated","All four-sided things are shapes.","∀x (FourSided(x) → Shape(x))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: simple_universal
canonical_fol: all x.(FourSided(x) -> Shape(x))","[positive|entailed] all v0.(FourSided(v0) -> Shape(v0))
[contrastive|not_entailed] all x.(FourSided(x) -> -Shape(x))","all x.(FourSided(x) -> Shape(x))","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"471","evaluated","All rabbits that can be spotted near the campus are cute.","∀x (Rabbit(x) ∧ CanBeSpottedNear(x, campus) → Cute(x))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: compound_restrictor_universal
canonical_fol: all x.((Rabbit(x) & SpottedNear(x, theCampus)) -> Cute(x))","[positive|entailed] all v0.((Rabbit(v0) & SpottedNear(v0,theCampus)) -> Cute(v0))
[contrastive|not_entailed] all x.((Rabbit(x) & SpottedNear(x, theCampus)) -> -Cute(x))","all x.((Rabbit(x) & SpottedNear(x, theCampus)) -> Cute(x))","recall=0.00 precision=1.00 f1=0.00 (P:0/1 C:1/1)","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
"471","evaluated","Some turtles can be spotted near the campus.","∃x (Turtle(x) ∧ CanBeSpottedNear(x, campus))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: simple_existential
canonical_fol: exists x.(Turtle(x) & SpottedNear(x, theCampus))","[positive|entailed] exists v0.(Turtle(v0) & SpottedNear(v0,theCampus))
[positive|entailed] exists v0.(Turtle(v0))
[contrastive|no_contrastives] ","exists x.(Turtle(x) & SpottedNear(x, theCampus))","recall=0.50 precision=n/a f1=n/a (P:1/2 C:0/0)","recall=1.00 precision=n/a f1=n/a (P:2/2 C:0/0)"
"471","evaluated","The only animals that can be spotted near the campus are rabbits and squirrels.","∀x (CanBeSpottedNear(x, campus) → (Rabbit(x) ⊕ Squirrel(x)))","[reconstructed from report — not raw extraction]
top_formula_case: quantification
structural_class: compound_restrictor_universal
canonical_fol: all x.((Animal(x) & CanBeSpottedNear(x, theCampus) & Campus(theCampus)) -> (Rabbit(x) | Squirrel(x)))","[positive|entailed] all v0.((Animal(v0) & CanBeSpottedNear(v0,theCampus) & Campus(theCampus)) -> (Rabbit(v0) | Squirrel(v0)))
[contrastive|not_entailed] all x.((Animal(x) & CanBeSpottedNear(x, theCampus) & Campus(theCampus)) -> -((Rabbit(x) | Squirrel(x))))","all x.((Animal(x) & CanBeSpottedNear(x, theCampus) & Campus(theCampus)) -> (Rabbit(x) | Squirrel(x)))","PARSE_ERROR (normalized: all x (CanBeSpottedNear(x, campus) -> (Rabbit(x) Squirrel(x))))","recall=1.00 precision=1.00 f1=1.00 (P:1/1 C:1/1)"
