"premise_id","story_id","nl","translation_a_source","translation_b_source","category","subcategory","selection_reason","siv_recall","bleu","overlap_ratio"
"P015","386","Colorectal cancer is not both a bile duct cancer and with a low survival rate.","siv_canonical","folio_gold","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.7857","0.333"
"P016","140","All people on the leaderboard of the 1992 du Maurier Classic participated in the 1992 du Maurier Classic.","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.7647","0.0"
"P017","234","Yale university's endowment was valued at $42.3 billion.","folio_gold","siv_canonical","constant_divergence","","high_bleu_siv_fail","0.0","0.6667","1.0"
"P018","183","If a man is taller than another man, the taller one can block the other's shooting.","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.9310","0.2"
"P019","460","All movies in the Frozen series are family-friendly animated films.","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.8261","0.0"
"P020","456","If someone leaps straight into the air, they activate their leg muscles.","folio_gold","siv_canonical","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.8000","0.333"
"P021","483","No Russian Federation officials hold Taiwanese citizenship.","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.8095","0.0"
"P022","183","If person x is taller than person y, and person y is taller than person z, then x is taller than z","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.8000","0.0"
"P023","459","If an animal has legs, then it jumps.","folio_gold","siv_canonical","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.5116","0.167"
"P024","51","The summer Olympic games is a sporting event.","folio_gold","siv_canonical","constant_divergence","","high_bleu_siv_fail","0.0","0.7500","1.0"
"P025","318","If a show gives out roses on TV, then the show is an episode of The Bachelor.","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.6364","0.0"
"P026","131","The state-of-the-art text summarization model is trained with machine learning algorithms.","folio_gold","siv_canonical","constant_divergence","","high_bleu_siv_fail","0.0","0.7333","1.0"
"P027","380","People in this club who chaperone high school dances are not students who attend the school.","folio_gold","siv_canonical","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.8571","0.222"
"P028","435","James doesn't work in the lab or have a part-time job offered by the university.","folio_gold","siv_canonical","vocab_divergence_partial","moderate_overlap","high_bleu_siv_fail","0.0","0.8065","0.6"
"P029","83","All vehicle registration plates in Istanbul begin with the number 34.","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.8235","0.2"
"P030","183","Every shooter who can jump when shooting is a great shooter.","siv_canonical","folio_gold","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.9231","0.5"
"P031","213","Basque is not related to any other language.","siv_canonical","folio_gold","vocab_divergence_partial","moderate_overlap","high_bleu_siv_fail","0.0","0.8750","0.667"
"P032","203","Plungers suck.","siv_canonical","folio_gold","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.7692","0.5"
"P033","426","All employees who are in other countries work remotely from home.","siv_canonical","folio_gold","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.8889","0.4"
"P034","386","Mild flu comes with a low survival rate.","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.5000","0.0"
"P035","191","If the output of a natural language processing task is a text sequence, then it is a language generation task.","folio_gold","siv_canonical","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.8500","0.333"
"P036","315","If something can transport multiple passengers, then they are not one-seaters.","siv_canonical","folio_gold","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.5682","0.25"
"P037","234","Yale University moved to New Haven in 1716.","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.6923","0.0"
"P038","386","If something is a deadly disease, then it comes with a low survival rate.","siv_canonical","folio_gold","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.7333","0.25"
"P039","64","Family History is written by Dani Shapiro.","siv_canonical","folio_gold","constant_divergence","","high_bleu_siv_fail","0.0","0.6667","1.0"
"P040","197","Those living in single-parent families or having few resources available to them can prove economic hardship.","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.7083","0.0"
"P041","435","All of the students taking a class with Professor David are taking the database course.","siv_canonical","folio_gold","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.9167","0.2"
"P042","361","All clumsy foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing.","folio_gold","siv_canonical","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.7917","0.111"
"P043","426","No managers work remotely from home.","folio_gold","siv_canonical","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.9375","0.333"
"P044","460","If a film contains excessive erotic and violent content, children cannot watch it without guidance from their parents.","folio_gold","siv_canonical","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.7812","0.143"
"P045","245","If a superhero movie is named after a character, that character is in the movie.","folio_gold","siv_canonical","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.9583","0.4"
"P046","2","The state of Montana includes the cities of Butte, Helena, and Missoula.","folio_gold","siv_canonical","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.7429","0.0"
"P047","460","If a film is appropriate for people of all ages, then children can watch it without guidance from parents.","folio_gold","siv_canonical","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.7500","0.333"
"P048","340","If a person at the mixer is an athlete, then they are famous.","folio_gold","siv_canonical","vocab_divergence_partial","moderate_overlap","high_bleu_siv_fail","0.0","0.9500","0.75"
"P049","64","Family History is a novel written in 2003.","siv_canonical","folio_gold","constant_divergence","","high_bleu_siv_fail","0.0","0.7273","1.0"
"P050","361","If people spill a lot of food on their clothing, then they are not notably tidy.","folio_gold","siv_canonical","vocab_divergence_partial","","high_bleu_siv_fail","0.0","0.7222","0.25"
"P051","441","No one nice to animals is also mean to animals.","folio_gold","siv_canonical","vocab_divergence_total","","high_bleu_siv_fail","0.0","0.6667","0.0"
"P052","20","The Legend of Zelda sold more than one million copies.","folio_gold","siv_canonical","vocab_divergence_total","","vocab_divergence_sample","0.0","0.3529","0.0"
"P053","435","All students working in the lab are taking a class with Professor David.","folio_gold","siv_canonical","vocab_divergence_total","","vocab_divergence_sample","0.0","0.9167","0.167"
"P054","198","Symptoms of Monkeypox include fever, headache, muscle pains, and tiredness.","siv_canonical","folio_gold","vocab_divergence_total","","vocab_divergence_sample","0.0","0.5000","0.0"
"P055","0","There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.","siv_canonical","folio_gold","vocab_divergence_total","","vocab_divergence_sample","0.0","0.4500","0.0"
"P056","232","Many of Beijing's 91 universities consistently rank among the best universities in the world.","siv_canonical","folio_gold","vocab_divergence_total","","vocab_divergence_sample","0.5","0.7500","0.0"
"P057","197","Tom is applying to take the GRE test.","folio_gold","siv_canonical","vocab_divergence_total","","vocab_divergence_sample","0.0","0.6667","0.0"
"P058","330","Some people that have well-attended weddings have larger families.","siv_canonical","folio_gold","vocab_divergence_total","","vocab_divergence_sample","0.2","0.8824","0.2"
"P059","330","All people who invite others to come to their ceremony make wedding plans.","folio_gold","siv_canonical","vocab_divergence_total","","vocab_divergence_sample","0.0","0.7551","0.0"
"P060","426","Everyone who has lunch in the company building schedules meetings with their customers.","folio_gold","siv_canonical","vocab_divergence_total","","vocab_divergence_sample","0.6666666666666666","0.8077","0.167"
"P061","315","All Solo EV cars are single-seat electric cars.","siv_canonical","folio_gold","vocab_divergence_total","","vocab_divergence_sample","0.0","0.7391","0.0"
"P062","83","If a license plate begins with the number 35, then it does not begin with the number 34.","siv_canonical","folio_gold","vocab_divergence_total","","vocab_divergence_sample","0.0","0.6667","0.0"
"P063","355","All people who eat salads regularly are very conscious about their health and eating habits.","siv_canonical","folio_gold","vocab_divergence_total","","vocab_divergence_sample","0.0","0.7500","0.143"
"P064","197","ETS provides financial aid to those GRE applicants who prove economic hardship.","siv_canonical","folio_gold","vocab_divergence_total","","vocab_divergence_sample","0.0","0.7692","0.0"
"P065","467","Rock is Peter's pet.","siv_canonical","folio_gold","vocab_divergence_total","","vocab_divergence_sample","0.0","0.7500","0.0"
"P066","151","Antarctica is located on the South Shetland Islands.","siv_canonical","folio_gold","vocab_divergence_total","","vocab_divergence_sample","0.0","0.8333","0.0"
"P067","306","All restaurants with a rating greater than four are listed in Yelp’s recommendations.","folio_gold","siv_canonical","vocab_divergence_total","","vocab_divergence_sample","0.0","0.7308","0.2"
"P068","120","Badults is a British Sitcom series starring members of Pappy's.","folio_gold","siv_canonical","vocab_divergence_total","","vocab_divergence_sample","0.0","0.7037","0.0"
"P069","460","If a film is rated General Audience, then it is appropriate for people of all ages.","folio_gold","siv_canonical","vocab_divergence_total","","vocab_divergence_sample","0.0","0.6818","0.2"
"P070","318","All shows portraying the lives of real people are reality TV shows.","folio_gold","siv_canonical","vocab_divergence_total","","vocab_divergence_sample","0.0","0.8667","0.2"
"P071","166","A deposit is required to rent an apartment in a managed building.","folio_gold","siv_canonical","vocab_divergence_total","","vocab_divergence_sample","0.5","0.7727","0.143"
"P072","80","Neapolitan Chronicles was translated from Italian.","siv_canonical","folio_gold","perfect_agreement","","calibration_good","1.0","1.0000","1.0"
"P073","0","Tom is not an Osceola wild turkey.","siv_canonical","folio_gold","perfect_agreement","","calibration_good","1.0","1.0000","1.0"
"P074","441","Tom is a pet owner.","folio_gold","siv_canonical","perfect_agreement","","calibration_good","1.0","1.0000","1.0"
"P075","232","Beijing is located in Northern China.","siv_canonical","folio_gold","perfect_agreement","","calibration_good","1.0","1.0000","1.0"
"P076","151","Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.","folio_gold","siv_canonical","perfect_agreement","","calibration_good","1.0","1.0000","1.0"
"P077","80","Neapolitan Chronicles is a book published by New Vessel Press.","siv_canonical","folio_gold","perfect_agreement","","calibration_good","1.0","1.0000","1.0"
"P078","79","Strikers are soccer players.","folio_gold","siv_canonical","perfect_agreement","","calibration_good","1.0","1.0000","1.0"
"P079","96","Roderick Strong leads Diamond Mine.","folio_gold","siv_canonical","perfect_agreement","","calibration_good","1.0","1.0000","1.0"
"P080","282","All squares are four-sided.","folio_gold","siv_canonical","perfect_agreement","","calibration_good","1.0","1.0000","1.0"
"P081","295","Some love is positive.","siv_canonical","folio_gold","perfect_agreement","","calibration_good","1.0","1.0000","1.0"
